8	0	r906u41n03.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:07	13.32	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 5455.594781168515 1.3433993325988987e-06 10
10	0	r906u41n03.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:07	13.32	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 5455.594781168515 2.1544346900318822e-06 10
7	0	r906u41n03.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:07	13.34	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 5455.594781168515 1.0608183551394484e-06 10
9	0	r906u41n03.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:07	13.35	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 5455.594781168515 1.701254279852589e-06 10
6	0	r906u41n03.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:07	13.35	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 5455.594781168515 8.376776400682924e-07 10
32	0	r919u05n01.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:07	13.35	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 5455.594781168515 0.0003888155180308085 10
0	0	r806u23n01.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:07	13.46	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 5455.594781168515 2.0309176209047346e-07 10
52	0	r919u36n02.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:07	13.40	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 7386.1998220793585 2.7283333764867697e-06 10
51	0	r919u36n02.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:07	13.39	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 7386.1998220793585 2.7283333764867697e-06 1
50	0	r919u36n02.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:07	13.40	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 7386.1998220793585 2.1544346900318822e-06 10
49	0	r919u36n02.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:07	13.40	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 7386.1998220793585 1.701254279852589e-06 10
27	0	r906u41n02.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:07	13.46	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 5455.594781168515 0.00011937766417144358 10
41	0	r919u09n04.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:07	13.83	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 7386.1998220793585 2.571913809059347e-07 10
39	0	r919u09n04.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:07	13.91	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 7386.1998220793585 1.603718743751331e-07 10
27n03.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:07	13.78	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 10000.0 1.266380173467402e-07 0.1
104	0	r805u27n03.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:07	13.79	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 10000.0 1e-07 10
 1e-07 10
38	0	r919u09n04.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:07	13.92	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 7386.1998220793585 1.266380173467402e-07 10
40	0	r919u09n04.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:07	13.93	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 7386.1998220793585 2.0309176209047346e-07 10
94	0	r805u11n04.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:07	13.87	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 7386.1998220793585 0.0003888155180308085 10
93	0	r805u11n04.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:08	14.09	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 7386.1998220793585 0.0003888155180308085 1
	0	r807u05n03.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:07	14.19	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 5455.594781168515 5.223345074266844e-07 10
3	0	r807u05n03.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:07	14.21	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 5455.594781168515 4.124626382901348e-07 10
53	0	r909u04n04.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:07	13.95	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 7386.1998220793585 3.455107294592218e-06 1
99	0	r805u14n03.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:07	14.07	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 7386.1998220793585 0.0007896522868499724 1
33	0	r919u09n01.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:08	14.21	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 5455.594781168515 0.0004923882631706737 10
34	0	r919u09n01.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:08	14.29	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 5455.594781168515 0.0006235507341273912 10
35	0	r919u09n01.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:08	14.31	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 5455.594781168515 0.0007896522868499724 10
95	0	r805u11n04.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:08	14.25	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 7386.1998220793585 0.0004923882631706737 1
36	0	r919u09n01.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:08	14.41	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 5455.594781168515 0.001 10
68	0	r909u29n04.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:08	14.33	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 7386.1998220793585 1.80472176682717e-05 10
67	0	r909u29n04.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:08	14.35	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 7386.1998220793585 1.80472176682717e-05 1
69	0	r909u29n04.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:08	14.37	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 7386.1998220793585 2.285463864134993e-05 1
25	0	r906u41n02.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:08	14.87	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 5455.594781168515 7.443803013251696e-05 10
26	0	r906u41n02.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:08	14.90	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 5455.594781168515 9.426684551178853e-05 10
81	0	r805u06n01.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:08	14.73	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 7386.1998220793585 9.426684551178853e-05 1
61	0	r909u07n02.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:08	14.76	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 7386.1998220793585 8.886238162743407e-06 1
45	0	r919u32n03.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:08	14.98	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 7386.1998220793585 6.614740641230146e-07 10
42	0	r919u32n03.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:08	15.00	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 7386.1998220793585 3.257020655659783e-07 10
46	0	r919u32n03.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:08	15.01	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 7386.1998220793585 8.376776400682924e-07 10
43	0	r919u32n03.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:08	15.01	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 7386.1998220793585 4.124626382901348e-07 10
44	0	r919u32n03.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:08	15.01	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 7386.1998220793585 5.223345074266844e-07 10
20	0	r904u07n03.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:08	15.12	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 5455.594781168515 2.285463864134993e-05 10
62	0	r909u10n02.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:08	15.08	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 7386.1998220793585 8.886238162743407e-06 10
63	0	r909u10n02.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:08	15.09	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 7386.1998220793585 1.1253355826007646e-05 1
82	0	r805u06n03.grace.ycrc.yale.edu	2025-01-23 10:51:54	2025-01-23 10:52:09	15.45	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 7386.1998220793585 9.426684551178853e-05 10
84	0	r805u06n03.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:09	15.46	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 7386.1998220793585 0.00011937766417144358 10
47	0	r919u32n03.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:09	15.64	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 7386.1998220793585 1.0608183551394484e-06 10
48	0	r919u32n03.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:09	15.65	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 7386.1998220793585 1.3433993325988987e-06 10
65	0	r909u13n02.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:09	15.62	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 7386.1998220793585 1.4251026703029963e-05 1
64	0	r909u13n02.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:09	15.63	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 7386.1998220793585 1.1253355826007646e-05 10
83	0	r805u06n03.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:09	15.51	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 7386.1998220793585 0.00011937766417144358 1
92	0	r805u11n02.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:09	15.67	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 7386.1998220793585 0.00030702906297578496 10
119	0	r913u05n02.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:09	15.84	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 10000.0 3.257020655659783e-07 10
120	0	r913u05n02.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:09	15.85	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 10000.0 4.124626382901348e-07 0.1
181	0	r815u03n01.grace.ycrc.yale.edu	2025-01-23 10:51:54	2025-01-23 10:52:09	15.63	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 10000.0 4.641588833612773e-05 1
183	0	r815u03n01.grace.ycrc.yale.edu	2025-01-23 10:51:54	2025-01-23 10:52:09	15.63	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 10000.0 5.8780160722749125e-05 0.1
182	0	r815u03n01.grace.ycrc.yale.edu	2025-01-23 10:51:54	2025-01-23 10:52:09	15.63	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 10000.0 4.641588833612773e-05 10
107	0	r912u32n02.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:09	15.86	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 10000.0 1.266380173467402e-07 10
184	0	r815u03n01.grace.ycrc.yale.edu	2025-01-23 10:51:54	2025-01-23 10:52:09	15.64	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 10000.0 5.8780160722749125e-05 1
91	0	r805u11n02.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:09	15.99	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 7386.1998220793585 0.00030702906297578496 1
152	0	r913u28n01.grace.ycrc.yale.edu	2025-01-23 10:51:54	2025-01-23 10:52:09	15.88	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 10000.0 4.37547937507418e-06 10
150	0	r913u28n01.grace.ycrc.yale.edu	2025-01-23 10:51:54	2025-01-23 10:52:09	15.89	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 10000.0 4.37547937507418e-06 0.1
256e-05 10
75	0	r805u02n03.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:10	16.12	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 7386.1998220793585 4.641588833612773e-05 1
16u15n03.grace.ycrc.yale.edu	2025-01-23 10:51:54	2025-01-23 10:52:09	15.84	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 10000.0 2.285463864134993e-05 10
151	0	r913u28n01.grace.ycrc.yale.edu	2025-01-23 10:51:54	2025-01-23 10:52:09	15.91	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 10000.0 4.37547937507418e-06 1
170	0	r816u15n03.grace.ycrc.yale.edu	2025-01-23 10:51:54	2025-01-23 10:52:09	15.86	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 10000.0 1.80472176682717e-05 10
174	0	r816u15n03.grace.ycrc.yale.edu	2025-01-23 10:51:54	2025-01-23 10:52:09	15.87	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 10000.0 2.8942661247167517e-05 0.1
111	0	r912u36n03.grace.ycrc.yale.edu	2025-01-23 10:51:54	2025-01-23 10:52:09	15.98	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 10000.0 2.0309176209047346e-07 0.1
172	0	r816u15n03.grace.ycrc.yale.edu	2025-01-23 10:51:54	2025-01-23 10:52:10	15.90	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 10000.0 2.285463864134993e-05 1
22	0	r904u07n04.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:10	16.34	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 5455.594781168515 3.6652412370796256e-05 10
21	0	r904u07n04.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:10	16.37	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 5455.594781168515 2.8942661247167517e-05 10
131	0	r913u09n04.grace.ycrc.yale.edu	2025-01-23 10:51:54	2025-01-23 10:52:10	16.13	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 10000.0 8.376776400682924e-07 10
132	0	r913u09n04.grace.ycrc.yale.edu	2025-01-23 10:51:54	2025-01-23 10:52:10	16.13	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 10000.0 1.0608183551394484e-06 0.1
133	0	r913u09n04.grace.ycrc.yale.edu	2025-01-23 10:51:54	2025-01-23 10:52:10	16.14	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 10000.0 1.0608183551394484e-06 1
90	0	r805u11n02.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:10	16.59	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 7386.1998220793585 0.00024244620170823283 10
176	0	r816u15n03.grace.ycrc.yale.edu	2025-01-23 10:51:54	2025-01-23 10:52:10	16.40	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 10000.0 2.8942661247167517e-05 10
179	0	r816u15n03.grace.ycrc.yale.edu	2025-01-23 10:51:54	2025-01-23 10:52:10	16.41	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 10000.0 3.6652412370796256e-05 10
108	0	r912u36n01.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:10	16.64	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 10000.0 1.603718743751331e-07 0.1
109	0	r912u36n01.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:10	16.66	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 10000.0 1.603718743751331e-07 1
177	0	r816u15n03.grace.ycrc.yale.edu	2025-01-23 10:51:54	2025-01-23 10:52:10	16.44	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 10000.0 3.6652412370796256e-05 0.1
178	0	r816u15n03.grace.ycrc.yale.edu	2025-01-23 10:51:54	2025-01-23 10:52:10	16.46	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 10000.0 3.6652412370796256e-05 1
175	0	r816u15n03.grace.ycrc.yale.edu	2025-01-23 10:51:54	2025-01-23 10:52:10	16.47	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 10000.0 2.8942661247167517e-05 1
180	0	r816u15n03.grace.ycrc.yale.edu	2025-01-23 10:51:54	2025-01-23 10:52:10	16.51	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 10000.0 4.641588833612773e-05 0.1
110	0	r912u36n02.grace.ycrc.yale.edu	2025-01-23 10:51:54	2025-01-23 10:52:10	16.58	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 10000.0 1.603718743751331e-07 10
194	0	r815u15n08.grace.ycrc.yale.edu	2025-01-23 10:51:54	2025-01-23 10:52:10	16.62	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 10000.0 0.00011937766417144358 10
195	0	r815u15n08.grace.ycrc.yale.edu	2025-01-23 10:51:54	2025-01-23 10:52:10	16.64	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 10000.0 0.00015117750706156614 0.1
72	0	r805u02n03.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:10	16.89	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 7386.1998220793585 2.8942661247167517e-05 10
73	0	r805u02n03.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:10	16.97	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 7386.1998220793585 3.6652412370796256e-05 1
96	0	r805u14n01.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:10	17.07	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 7386.1998220793585 0.0004923882631706737 10
88	0	r805u09n02.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:10	17.08	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 7386.1998220793585 0.00019144819761699575 10
87	0	r805u09n02.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:11	17.46	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 7386.1998220793585 0.00019144819761699575 1
11n02.grace.ycrc.yale.edu	2025-01-23 10:51:53	2025-01-23 10:52:11	17.27	module load miniconda; conda activate microsphere; python ../project_dm_smooth.py 7386.1998220793585 0.00024244620170823283 1
